DataTypeVer2.0,Time,RawData,RawData,RawData,RawData,RawData,RawData,RawData,RawData,RawData,RawData,RawData,RawData,RawData,RawData,RawData,RawData,RawData,DigitalData,DigitalData,DigitalData,DigitalData,Time,ForcePlate,ForcePlate,ForcePlate,ForcePlate,ForcePlate,ForcePlate,ForcePlate,ForcePlate,ForcePlate,ForcePlate,ForcePlate,ForcePlate
NumberOfData,,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
PreTriggerData,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
SamplingTime[ms],,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
DataLabel,,Fx12(FP1),Fx34(FP1),Fy14(FP1),Fy23(FP1),Fz1(FP1),Fz2(FP1),Fz3(FP1),Fz4(FP1),Fx12(FP2),Fx34(FP2),Fy14(FP2),Fy23(FP2),Fz1(FP2),Fz2(FP2),Fz3(FP2),Fz4(FP2),ch17,01,02,03,04,,FX[1],FY[1],FZ[1],AX[1],AY[1],TZ[1],FX[2],FY[2],FZ[2],AX[2],AY[2],TZ[2]
DataUnit,sec,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,V,-,-,-,-,sec,N,N,N,cm,cm,Nm,N,N,N,cm,cm,Nm
,0,8.9575e-2,-0.54421,0.41736,-0.92267,-0.52574,5.2658e-2,-0.24908,0.32932,-5.38797,33.0913,-11.0474,42.7176,12.4679,136.184,224.856,66.4721,-4.5279e-2,0.0,0.0,0.0,0.0,0,-0.45464,-0.50531,-0.39285,0,0,5.9581e-2,27.7033,31.6702,439.981,-8.28586,-7.16219,1.88404
,0.001,0.38534,-0.33295,0.79793,-0.49981,0.39368,0.47058,0.25242,-0.50652,-5.26595,33.0913,-11.0072,42.4763,12.3829,135.249,223.921,66.5571,-4.4957e-2,0.0,0.0,0.0,0.0,0.001,5.2392e-2,0.29811,0.61016,-29.2997,61.1218,0.14049,27.8253,31.4691,438.111,-8.27262,-7.1962,1.85439
,0.002,0.5121,-0.33295,0.5865,-0.88039,-0.86008,-0.53243,-0.1655,-0.17218,-5.59134,33.0099,-11.0072,42.2752,12.3829,134.739,223.411,66.5571,-4.4957e-2,0.0,0.0,0.0,0.0,0.002,0.17915,-0.29388,-1.73018,0,0,0.01228,27.4186,31.2681,437.091,-8.25518,-7.20867,1.93109
,0.003,8.9575e-2,-0.2907,0.79793,-0.45753,0.64443,0.80491,0.75392,0.9144,-5.3473,32.8472,-10.8865,42.0741,12.2979,133.974,222.731,66.5571,-4.5601e-2,0.0,0.0,0.0,0.0,0.003,-0.20112,0.3404,3.11767,0.39995,-3.13538,0.1355,27.4999,31.1876,435.561,-8.24846,-7.24006,1.86512
,0.004,0.46985,4.7322e-2,0.92479,-0.5421,-0.19141,0.21983,-0.58341,-0.50652,-5.18461,32.9286,-10.8865,41.9133,12.4679,133.889,222.476,66.6421,-4.5601e-2,0.0,0.0,0.0,0.0,0.004,0.51717,0.38268,-1.06152,0,0,0.16016,27.744,31.0268,435.476,-8.23895,-7.22629,1.83808
,0.005,-7.9434e-2,-0.54421,0.45964,-0.8381,-0.35857,5.2658e-2,1.671e-3,-5.016e-3,-5.55067,32.6845,-10.8463,41.8731,12.7229,133.464,221.626,66.4721,-4.4313e-2,0.0,0.0,0.0,0.0,0.005,-0.62364,-0.37846,-0.30926,0,0,0.10985,27.1339,31.0268,434.286,-8.21074,-7.20695,1.91272
